Date,Location,Designation,Filename,Frame,Time (mins),Period time (mins),X (mm),Y (mm),Z (mm),sX (mm),sY (mm),sZ (mm),RMS (mm),Range (mm),Direction (deg),OpCode,TapeReader,Depth,Comment,Family,Genus,Species,Common_name,Code,Number,Stage,Activity,Comment,
20230613,Point_Lobos,MPA,20230613_D1.03_PointLobosMPA_5L_1.MP4,7853,4.3671,3.1576,-767.37,-233.208,-1265.207,1.196,0.722,1.853,3.048,1497.995,32.423,1.03,AW,36.3,na,Scorpaenidae,Sebastes,mystinus,Blue_Rockfish,142,19,AD,Passing,,
20230613,Point_Lobos,MPA,20230613_D1.03_PointLobosMPA_5L_1.MP4,7853,4.3671,3.1576,-1152.185,188.24,-1636.429,1.81,0.854,2.732,2.957,2010.19,35.476,1.03,AW,36.3,na,Scorpaenidae,Sebastes,mystinus,Blue_Rockfish,142,20,AD,Passing,,
20230613,Point_Lobos,MPA,20230613_D1.03_PointLobosMPA_5L_1.MP4,7853,4.3671,3.1576,-443.936,150.995,-868.922,0.713,0.498,0.987,2.673,987.373,28.297,1.03,AW,36.3,na,Scorpaenidae,Sebastes,mystinus,Blue_Rockfish,142,21,AD,Passing,,
20230613,Point_Lobos,MPA,20230613_D1.03_PointLobosMPA_5L_1.MP4,7853,4.3671,3.1576,-269.073,21.662,-685.849,0.5,0.386,0.67,0.689,737.061,21.47,1.03,AW,36.3,na,Scorpaenidae,Sebastes,mystinus,Blue_Rockfish,142,22,AD,Passing,,
20230613,Point_Lobos,MPA,20230613_D1.03_PointLobosMPA_5L_1.MP4,7853,4.3671,3.1576,-293.387,-27.74,-719.039,0.538,0.405,0.734,5.691,777.086,22.304,1.03,AW,36.3,na,Scorpaenidae,Sebastes,mystinus,Blue_Rockfish,142,23,AD,Passing,,
20230613,Point_Lobos,MPA,20230613_D1.03_PointLobosMPA_5L_1.MP4,7853,4.3671,3.1576,-184.61,-202.546,-1173.128,0.769,0.774,2.221,22.377,1204.713,13.281,1.03,AW,36.3,na,Scorpaenidae,Sebastes,mystinus,Blue_Rockfish,142,24,AD,Passing,,
20230613,Point_Lobos,MPA,20230613_D1.03_PointLobosMPA_5L_1.MP4,7853,4.3671,3.1576,-183.828,-676.177,-3174.888,2.017,3.722,15.983,10.743,3251.295,12.618,1.03,AW,36.3,na,Scorpaenidae,Sebastes,mystinus,Blue_Rockfish,142,25,AD,Passing,,
20230613,Point_Lobos,MPA,20230613_D1.03_PointLobosMPA_5L_1.MP4,13822,7.6866,6.477,-295.372,-405.489,-1283.967,0.913,1.044,2.531,21.408,1378.491,21.486,1.03,AW,36.3,na,Scorpaenidae,Sebastes,carnatus,Gopher_Rockfish,158,1,AD,Passing,,
20230613,Point_Lobos,MPA,20230613_D1.03_PointLobosMPA_5L_1.MP4,19229,10.6935,9.4839,874.505,-490.23,-1640.783,1.553,1.135,2.889,0.145,1922.824,31.513,1.03,AW,36.3,na,Hexagrammidae,Oxylebius,pictus,Painted_Greenling,83,1,AD,Passing,,
20230613,Point_Lobos,MPA,20230613_D1.04_PointLobosMPA_7L_1.MP4,1869,1.0394,0.0206,297.001,-110.984,-938.791,0.726,0.563,1.492,2.281,990.886,18.686,1.04,KR,31,,Stichaeidae,Kasatkia,seigeli,Sixspot_Prickleback,240,1,AD,Passing,No measurement,KSEI 1
20230613,Point_Lobos,MPA,20230613_D1.04_PointLobosMPA_7L_1.MP4,4381,2.4363,1.4175,67.589,-210.537,-700.559,0.391,0.468,0.832,5.151,734.628,17.585,1.04,KR,31,,Scorpaenidae,Sebastes,caurinus,Copper_Rockfish,151,1,AD,Passing,No measurement,SCAU 1
20230613,Point_Lobos,MPA,20230613_D1.04_PointLobosMPA_7L_1.MP4,10990,6.1117,5.0929,521.104,-430.355,-1483.767,1.416,1.273,3.544,7.808,1630.436,24.534,1.04,KR,31,,Hexagrammidae,Oxylebius,pictus,Painted_Greenling,83,1,AD,Passing,,OPIC 1
20230613,Point_Lobos,MPA,20230613_D1.04_PointLobosMPA_7L_2.MP4,175,11.9759,10.9571,812.478,-119.86,-1311.49,1.434,0.708,2.272,0.334,1547.415,32.066,1.04,KR,31,,Scorpaenidae,Sebastes,mystinus,Blue_Rockfish,142,1,AD,Passing,No measurement,SMYS 1
20230613,Point_Lobos,MPA,20230613_D1.04_PointLobosMPA_7L_2.MP4,618,12.2222,11.2034,-552.596,-304.888,-1343.787,1.237,0.904,2.566,3.276,1484.615,25.192,1.04,KR,31,,Hexagrammidae,Hexagrammos,decagrammus,Kelp_Greenling,80,1,AD,Passing,No measurement,HDEC 1
20230613,Point_Lobos,MPA,20230613_D1.04_PointLobosMPA_7L_2.MP4,989,12.4285,11.4097,187.439,-353.357,-1354.411,0.891,1.129,3.262,9.844,1412.241,16.516,1.04,KR,31,,Scorpaenidae,Sebastes,carnatus,Gopher_Rockfish,158,1,AD,Passing,,SCAR 1
20230613,Point_Lobos,MPA,20230613_D1.04_PointLobosMPA_7L_2.MP4,1702,12.825,11.8062,6.409,-161.686,-951.497,0.552,0.617,1.627,7.577,965.158,9.722,1.04,KR,31,,Scorpaenidae,Sebastes,serranoides,Olive_Rockfish,170,1,AD,Passing,,SSER 1
20230613,Point_Lobos,MPA,20230613_D1.04_PointLobosMPA_7L_4.MP4,12901,42.6765,41.6577,687.712,-460.725,-1698.447,1.894,1.475,4.47,9.143,1889.428,26.023,1.04,KR,31,,Cottidae,Scorpaenichthys,marmoratus,Cabezon,36,1,AD,Passing,No measurement,SMAR 1
20230613,Point_Lobos,MPA,20230613_D1.04_PointLobosMPA_7L_4.MP4,14802,43.7337,42.7149,195.251,-258.513,-854.786,0.564,0.603,1.242,6.779,914.117,20.813,1.04,KR,31,,Embiotocidae,Embiotoca,lateralis,Striped_Perch,69,1,AD,Passing,No measurement,ELAT 1
20230613,Point_Lobos,MPA,20230613_D2.04_PointLobosMPA_7L_2.MP4,3922,14.0429,13.0174,-510.458,-388.944,-1335.698,1.181,1.006,2.57,9.27,1481.868,25.706,2.04,KR,30,,Paralichthyidae,Citharichthys,stigmaeus,Speckled_Sanddab,23,1,AD,Passing,,CSTI 1
20230613,Point_Lobos,MPA,20230613_D2.04_PointLobosMPA_7L_2.MP4,3922,14.0429,13.0174,-383.677,-436.998,-1225.63,0.963,1.013,2.264,8.205,1356.593,25.436,2.04,KR,30,,Paralichthyidae,Citharichthys,stigmaeus,Speckled_Sanddab,23,1,AD,Passing,,CSTI 2
20230613,Point_Lobos,MPA,20230613_D2.04_PointLobosMPA_7L_2.MP4,3922,14.0429,13.0174,-320.399,-434.962,-1169.358,0.863,0.983,2.117,8.308,1288.117,24.854,2.04,KR,30,,Paralichthyidae,Citharichthys,stigmaeus,Speckled_Sanddab,23,1,AD,Passing,,CSTI 3
20230613,Point_Lobos,MPA,20230613_D2.04_PointLobosMPA_7L_2.MP4,3922,14.0429,13.0174,89.174,-465.884,-1182.785,0.683,1.135,2.427,6.766,1274.355,21.922,2.04,KR,30,,Paralichthyidae,Citharichthys,stigmaeus,Speckled_Sanddab,23,1,AD,Passing,,CSTI 4
20230613,Point_Lobos,MPA,20230613_D2.04_PointLobosMPA_7L_2.MP4,3922,14.0429,13.0174,-323.303,-386.253,-2129.342,1.647,1.832,7.851,10.824,2188.107,13.363,2.04,KR,30,,Paralichthyidae,Citharichthys,stigmaeus,Speckled_Sanddab,23,1,AD,Passing,,CSTI 5
20230613,Point_Lobos,MPA,20230613_D2.04_PointLobosMPA_7L_2.MP4,3922,14.0429,13.0174,-431.11,-415.071,-2255.496,1.989,1.992,8.621,11.766,2333.539,14.909,2.04,KR,30,,Paralichthyidae,Citharichthys,stigmaeus,Speckled_Sanddab,23,1,AD,Passing,,CSTI 6
